no,row_id,image_file,current_status,source_label,privacy_status,decision_options,your_decision,note
1,v3-review-013,03_bbox_relabel_required/items/01_v3-review-013.jpg,manual_bbox_relabel_required,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_4_2_20210927_0000551201.txt,privacy_hold,relabel_done/drop/hold,,
2,v3-review-014,03_bbox_relabel_required/items/02_v3-review-014.jpg,manual_bbox_relabel_required,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_4_2_20210927_0000551201.txt,privacy_hold,relabel_done/drop/hold,,
3,v3-review-015,03_bbox_relabel_required/items/03_v3-review-015.jpg,manual_bbox_relabel_required,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_3_20210809_0000142446.txt,privacy_hold,relabel_done/drop/hold,,
4,v3-review-016,03_bbox_relabel_required/items/04_v3-review-016.jpg,manual_bbox_relabel_required,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_5_2_20211022_0000687657.txt,privacy_hold,relabel_done/drop/hold,,
5,v3-review-017,03_bbox_relabel_required/items/05_v3-review-017.jpg,manual_bbox_relabel_required,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_5_1_20211022_0000689358.txt,privacy_hold,relabel_done/drop/hold,,
6,v3-review-018,03_bbox_relabel_required/items/06_v3-review-018.jpg,manual_bbox_relabel_required,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_5_1_20211022_0000689358.txt,privacy_hold,relabel_done/drop/hold,,
7,v3-review-019,03_bbox_relabel_required/items/07_v3-review-019.jpg,manual_bbox_relabel_required,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_2_20210725_0000013419.txt,privacy_pass_after_blur_auto,relabel_done/drop/hold,,
8,v3-review-020,03_bbox_relabel_required/items/08_v3-review-020.jpg,manual_bbox_relabel_required,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210827_0000378580.txt,privacy_pass_after_blur_auto,relabel_done/drop/hold,,
9,v3-review-021,03_bbox_relabel_required/items/09_v3-review-021.jpg,manual_bbox_relabel_required,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210827_0000378580.txt,privacy_pass_after_blur_auto,relabel_done/drop/hold,,
10,v3-review-022,03_bbox_relabel_required/items/10_v3-review-022.jpg,manual_bbox_relabel_required,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_2_20210725_0000011145.txt,privacy_pass_after_blur_auto,relabel_done/drop/hold,,
11,v3-review-023,03_bbox_relabel_required/items/11_v3-review-023.jpg,manual_bbox_relabel_required,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_5_1_20211026_0000736610.txt,privacy_pass_after_blur_auto,relabel_done/drop/hold,,
12,v3-review-024,03_bbox_relabel_required/items/12_v3-review-024.jpg,manual_bbox_relabel_required,datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20211021_0000700279.txt,privacy_pass_after_blur_auto,relabel_done/drop/hold,,
