candidate_id,source_dataset,source_zip,source_xml,source_member,split,width,height,xmin,ymin,xmax,ymax,shape_type,points,review_decision,approved_xmin,approved_ymin,approved_xmax,approved_ymax,review_note
028d065e474401f2,aihub189_bbox_scooter_candidate,/home/ddobagi/Downloads/한이음 드림업 데이터셋/인도보행 영상/바운딩박스/Bbox_1_new.zip,Bbox_0088/0627_09.xml,Bbox_0088/MP_SEL_010132.jpg,train,1920,1080,1366.71,486.19,1520.30,685.40,box,,,1366.71,486.19,1520.30,685.40,
05bd7f9f0cb5d308,aihub189_polygon_scooter_candidate,/home/ddobagi/Downloads/한이음 드림업 데이터셋/인도보행 영상/폴리곤세크멘테이션/Polygon_1_new.zip,Polygon_0253/P0919_19.xml,Polygon_0253/MP_TW_P000950.jpg,train,1920,1080,1323.61,672.13,1338.50,683.83,polygon,"1325.61,672.13;1334.61,672.13;1337.40,675.83;1338.50,679.93;1337.40,683.33;1335.80,683.83;1323.61,683.03",,1323.61,672.13,1338.50,683.83,
063fa3b9faf628db,aihub189_polygon_scooter_candidate,/home/ddobagi/Downloads/한이음 드림업 데이터셋/인도보행 영상/폴리곤세크멘테이션/Polygon_1_new.zip,Polygon_0261/P0919_27.xml,Polygon_0261/MP_TW_P001338.jpg,train,1920,1080,327.08,466.08,457.87,730.69,polygon,"327.08,474.20;345.74,475.06;354.21,472.82;358.01,468.84;362.50,466.60;366.48,466.08;368.89,468.67;370.45,473.33;371.66,476.79;374.42,478.17;414.17,481.63;418.07,483.10;420.58,483.18;425.87,478.59;427.08,476.58;427.77,474.10;427.87,472.89;431.78,471.09;436.48,471.88;444.27,477.40;455.07,480.09;457.87,480.38;457.47,492.69;434.87,489.89;421.48,492.08;408.28,491.89;397.08,522.69;401.67,532.90;391.80,561.20;401.81,568.44;403.73,569.29;406.86,573.01;408.05,578.54;405.65,584.41;392.08,592.93;397.32,635.42;403.30,670.66;374.63,710.07;366.87,722.91;359.10,729.18;351.63,730.69;349.25,722.32;347.76,714.25;343.58,704.70;346.57,689.77;358.22,680.82;363.88,680.52;368.48,589.30;358.41,584.27;357.70,576.50;362.16,571.16;375.98,565.70;387.45,513.42;392.24,489.66;358.53,488.70;347.85,487.50;328.29,481.25",,327.08,466.08,457.87,730.69,
08496ce84b16d1ee,aihub189_bbox_scooter_candidate,/home/ddobagi/Downloads/한이음 드림업 데이터셋/인도보행 영상/바운딩박스/Bbox_1_new.zip,Bbox_0136/0702_13.xml,Bbox_0136/MP_SEL_019572.jpg,train,1920,1080,532.96,570.53,596.86,654.25,box,,,532.96,570.53,596.86,654.25,
0a19d6e9fcb7bc36,aihub189_polygon_scooter_candidate,/home/ddobagi/Downloads/한이음 드림업 데이터셋/인도보행 영상/폴리곤세크멘테이션/Polygon_1_new.zip,Polygon_0184/P0917_10.xml,Polygon_0184/MP_KSC_P002365.jpg,train,1920,1080,975.32,762.95,1003.37,836.90,polygon,"982.97,823.87;975.32,824.44;975.89,835.77;979.86,836.90;979.86,831.24;991.47,831.24;992.04,836.62;999.41,836.34;999.41,826.42;990.34,823.30;992.04,765.78;1003.37,766.92;1003.37,762.95;978.44,763.23;978.16,766.92;988.64,767.20;986.09,823.02",,975.32,762.95,1003.37,836.90,
0a5526a1949578c4,aihub189_polygon_scooter_candidate,/home/ddobagi/Downloads/한이음 드림업 데이터셋/인도보행 영상/폴리곤세크멘테이션/Polygon_1_new.zip,Polygon_0298/P0921_06.xml,Polygon_0298/MP_TW_P003290.jpg,train,1920,1080,129.34,518.35,181.02,629.54,polygon,"138.86,609.14;134.78,606.08;130.02,608.46;129.34,613.56;129.34,619.34;132.06,623.76;136.82,625.80;139.20,621.04;138.86,619.00;141.92,619.34;143.28,626.14;146.68,629.54;151.78,627.84;153.48,622.40;154.50,620.36;152.46,615.60;153.14,590.78;157.22,588.40;156.88,585.00;153.14,583.64;156.88,581.60;158.92,547.60;160.28,526.18;180.34,529.92;181.02,525.84;163.00,522.78;162.66,518.35;152.46,519.37;150.42,521.42;132.40,521.07;131.04,523.12;153.14,525.16;151.10,545.56;146.68,550.66;144.64,580.58;149.06,583.64;144.98,584.32;145.32,587.04;148.72,588.06;147.70,600.98;141.24,610.16",,129.34,518.35,181.02,629.54,
113285533af440c4,aihub189_bbox_scooter_candidate,/home/ddobagi/Downloads/한이음 드림업 데이터셋/인도보행 영상/바운딩박스/Bbox_1_new.zip,Bbox_0149/0702_26.xml,Bbox_0149/MP_SEL_022293.jpg,train,1920,1080,584.32,498.94,634.99,621.80,box,,,584.32,498.94,634.99,621.80,
1193dd0a1d6a3e58,aihub189_polygon_scooter_candidate,/home/ddobagi/Downloads/한이음 드림업 데이터셋/인도보행 영상/폴리곤세크멘테이션/Polygon_1_new.zip,Polygon_0271/P0920_07.xml,Polygon_0271/MP_TW_P001849.jpg,val,1920,1080,988.83,631.44,1108.00,780.27,polygon,"1055.20,633.31;1068.27,633.72;1069.30,631.44;1076.15,631.44;1077.60,633.52;1092.94,633.31;1093.36,638.29;1077.18,639.53;1082.37,661.93;1092.53,706.71;1097.10,716.90;1098.54,722.06;1098.54,728.90;1095.85,730.98;1098.29,752.19;1102.48,756.27;1106.57,761.54;1108.00,767.06;1106.82,775.70;1102.61,779.31;1099.72,780.27;1095.29,779.66;1092.05,777.38;1090.12,773.42;1088.57,768.13;1088.44,762.99;1088.32,754.95;1086.89,748.58;1079.80,757.83;1075.01,762.39;1067.70,765.20;1050.70,766.20;1012.49,765.27;1008.13,771.72;1001.12,775.12;992.23,771.83;988.83,763.12;990.74,755.63;994.63,747.23;1002.53,744.52;1010.00,748.91;1013.30,759.43;1047.41,760.32;1067.10,761.20;1072.71,757.21;1084.61,742.11;1086.89,738.11;1085.50,717.41;1076.20,709.50;1070.80,696.72;1069.49,675.82;1073.10,670.51;1070.40,639.72;1055.02,638.83",,988.83,631.44,1108.00,780.27,
11ff0fcee404cba1,aihub189_bbox_scooter_candidate,/home/ddobagi/Downloads/한이음 드림업 데이터셋/인도보행 영상/바운딩박스/Bbox_1_new.zip,Bbox_0150/0704_01.xml,Bbox_0150/MP_SEL_022637.jpg,train,1920,1080,1630.91,414.02,1694.81,638.75,box,,,1630.91,414.02,1694.81,638.75,
16fcf21e31734f23,aihub189_polygon_scooter_candidate,/home/ddobagi/Downloads/한이음 드림업 데이터셋/인도보행 영상/폴리곤세크멘테이션/Polygon_1_new.zip,Polygon_0261/P0919_27.xml,Polygon_0261/MP_TW_P001337.jpg,train,1920,1080,828.13,471.70,897.80,626.55,polygon,"850.77,471.70;873.72,473.40;887.60,478.22;886.75,484.73;887.03,491.53;889.58,506.55;895.70,509.22;897.80,515.82;893.61,526.61;882.10,526.81;869.10,523.01;865.50,518.71;865.10,517.72;863.69,523.92;864.51,527.01;870.09,533.61;869.49,540.33;867.00,541.01;863.60,540.33;862.50,540.72;861.93,570.79;865.87,583.42;865.24,598.36;862.35,602.10;856.55,606.23;850.31,613.71;848.24,616.41;848.24,618.05;846.80,621.17;845.55,623.24;842.66,625.53;839.74,626.55;835.80,625.11;833.11,621.59;832.69,617.43;832.69,615.58;828.13,612.24;828.98,606.46;842.43,594.42;845.35,581.36;849.92,541.74;843.06,539.05;841.61,532.00;844.93,526.61;850.94,526.19;851.79,526.19;858.19,523.50;864.62,479.32;850.11,476.86",,828.13,471.70,897.80,626.55,
