no,row_id,image_file,current_status,reason,decision_options,your_decision,note
1,v3-review-008,01_privacy_hold/items/01_v3-review-008.jpg,privacy_hold,too_many_privacy_candidates_manual_review|large_blur_area_manual_review,pass/drop/hold,,
2,v3-review-012,01_privacy_hold/items/02_v3-review-012.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
3,v3-review-013,01_privacy_hold/items/03_v3-review-013.jpg,privacy_hold,large_blur_area_manual_review,pass/drop/hold,,
4,v3-review-014,01_privacy_hold/items/04_v3-review-014.jpg,privacy_hold,large_blur_area_manual_review,pass/drop/hold,,
5,v3-review-015,01_privacy_hold/items/05_v3-review-015.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
6,v3-review-016,01_privacy_hold/items/06_v3-review-016.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
7,v3-review-017,01_privacy_hold/items/07_v3-review-017.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
8,v3-review-018,01_privacy_hold/items/08_v3-review-018.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
9,v3-review-034,01_privacy_hold/items/09_v3-review-034.jpg,privacy_hold,too_many_privacy_candidates_manual_review|large_blur_area_manual_review,pass/drop/hold,,
10,v3-review-035,01_privacy_hold/items/10_v3-review-035.jpg,privacy_hold,too_many_privacy_candidates_manual_review|large_blur_area_manual_review,pass/drop/hold,,
11,v3-review-039,01_privacy_hold/items/11_v3-review-039.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
12,v3-review-040,01_privacy_hold/items/12_v3-review-040.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
13,v3-review-057,01_privacy_hold/items/13_v3-review-057.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
14,v3-review-058,01_privacy_hold/items/14_v3-review-058.jpg,privacy_hold,large_blur_area_manual_review,pass/drop/hold,,
15,v3-review-059,01_privacy_hold/items/15_v3-review-059.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
16,v3-review-060,01_privacy_hold/items/16_v3-review-060.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
17,v3-review-061,01_privacy_hold/items/17_v3-review-061.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
18,v3-review-069,01_privacy_hold/items/18_v3-review-069.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
19,v3-review-070,01_privacy_hold/items/19_v3-review-070.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
20,v3-review-071,01_privacy_hold/items/20_v3-review-071.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
21,v3-review-072,01_privacy_hold/items/21_v3-review-072.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
22,v3-review-073,01_privacy_hold/items/22_v3-review-073.jpg,privacy_hold,too_many_privacy_candidates_manual_review|large_blur_area_manual_review,pass/drop/hold,,
23,v3-review-078,01_privacy_hold/items/23_v3-review-078.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
24,v3-review-079,01_privacy_hold/items/24_v3-review-079.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
25,v3-review-102,01_privacy_hold/items/25_v3-review-102.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
26,v3-review-115,01_privacy_hold/items/26_v3-review-115.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
27,v3-review-118,01_privacy_hold/items/27_v3-review-118.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
28,v3-review-119,01_privacy_hold/items/28_v3-review-119.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
29,v3-review-120,01_privacy_hold/items/29_v3-review-120.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
30,v3-review-121,01_privacy_hold/items/30_v3-review-121.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
31,v3-review-156,01_privacy_hold/items/31_v3-review-156.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
32,v3-review-157,01_privacy_hold/items/32_v3-review-157.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
33,v3-review-158,01_privacy_hold/items/33_v3-review-158.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
34,v3-review-159,01_privacy_hold/items/34_v3-review-159.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
35,v3-review-160,01_privacy_hold/items/35_v3-review-160.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
36,v3-review-163,01_privacy_hold/items/36_v3-review-163.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
37,v3-review-164,01_privacy_hold/items/37_v3-review-164.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
38,v3-review-171,01_privacy_hold/items/38_v3-review-171.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
39,v3-review-190,01_privacy_hold/items/39_v3-review-190.jpg,privacy_hold,too_many_privacy_candidates_manual_review,pass/drop/hold,,
