image_id,package_image_path,package_initial_label_path,package_final_label_path,original_sanitized_image_path,source_label_path,review_ids,source_buckets,source_label_box_count,notes,package_image_width,package_image_height
wsv3_img_0013_5a72475851,images/wsv3_img_0013_5a72475851.jpg,labels_initial/wsv3_img_0013_5a72475851.txt,labels_final/wsv3_img_0013_5a72475851.txt,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0013_5a72475851.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210721_0000062925.txt,v3-review-082;v3-review-083,false_positive_extra_box,4,v3-review-082: 어두운 마모/파손 의심 부위가 있으나 기존/후보 박스 범위 재정의 필요 | v3-review-083: 이음부 마모/파손 의심 부위가 있으나 박스 위치와 범위 수정 필요,1152,2048
wsv3_img_0018_cbb2f7c226,images/wsv3_img_0018_cbb2f7c226.jpg,labels_initial/wsv3_img_0018_cbb2f7c226.txt,labels_final/wsv3_img_0018_cbb2f7c226.txt,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0018_cbb2f7c226.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210811_0000158622.txt,v3-review-099,false_positive_extra_box,4,v3-review-099: 점자블럭 모서리 박리/파손이 있으나 기존 박스가 일부만 포함,1152,2048
wsv3_img_0019_d6844841fe,images/wsv3_img_0019_d6844841fe.jpg,labels_initial/wsv3_img_0019_d6844841fe.txt,labels_final/wsv3_img_0019_d6844841fe.txt,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0019_d6844841fe.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210813_0000214336.txt,v3-review-100,false_positive_extra_box,4,v3-review-100: 점자블럭 가장자리 대형 박리/노출 파손; 수동 박스 필요,1152,2048
wsv3_img_0020_feca97a29f,images/wsv3_img_0020_feca97a29f.jpg,labels_initial/wsv3_img_0020_feca97a29f.txt,labels_final/wsv3_img_0020_feca97a29f.txt,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0020_feca97a29f.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210815_0000223148.txt,v3-review-101,false_positive_extra_box,4,v3-review-101: 중앙 박리 파손이 기존 초록 박스에 포함되지 않아 추가 라벨 필요,1152,2048
wsv3_img_0021_51453cd280,images/wsv3_img_0021_51453cd280.jpg,labels_initial/wsv3_img_0021_51453cd280.txt,labels_final/wsv3_img_0021_51453cd280.txt,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0021_51453cd280.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210829_0000386808.txt,v3-review-102,false_positive_extra_box,4,v3-review-102: 대면적 박리 파손이 명확하나 박스 수동 조정 필요,1152,2048
wsv3_img_0022_2c8938e81f,images/wsv3_img_0022_2c8938e81f.jpg,labels_initial/wsv3_img_0022_2c8938e81f.txt,labels_final/wsv3_img_0022_2c8938e81f.txt,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0022_2c8938e81f.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210902_0000446087.txt,v3-review-104;v3-review-105;v3-review-106,false_positive_extra_box,2,v3-review-104: 모서리 파손이 있으나 기존 초록 박스가 전체 파손 범위를 충분히 포함하지 않음 | v3-review-105: 측면 박리/파손이 명확하나 박스 재라벨 필요 | v3-review-106: 측면 세로 파손이 명확하나 박스 재라벨 필요,1152,2048
wsv3_img_0025_59636086f1,images/wsv3_img_0025_59636086f1.jpg,labels_initial/wsv3_img_0025_59636086f1.txt,labels_final/wsv3_img_0025_59636086f1.txt,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0025_59636086f1.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20210930_0000584177.txt,v3-review-113,false_positive_extra_box,4,v3-review-113: 블럭 모서리 파손이 명확하나 박스 범위 재조정 필요,1152,2048
wsv3_img_0027_d0911851c4,images/wsv3_img_0027_d0911851c4.jpg,labels_initial/wsv3_img_0027_d0911851c4.txt,labels_final/wsv3_img_0027_d0911851c4.txt,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0027_d0911851c4.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20211005_0000597005.txt,v3-review-115,false_positive_extra_box,4,v3-review-115: 이음부 균열/박리와 이물이 혼재되어 박스 범위 수동 조정 필요,1152,2048
wsv3_img_0032_2f57e4b636,images/wsv3_img_0032_2f57e4b636.jpg,labels_initial/wsv3_img_0032_2f57e4b636.txt,labels_final/wsv3_img_0032_2f57e4b636.txt,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0032_2f57e4b636.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20211021_0000700279.txt,v3-review-124,false_positive_extra_box,4,v3-review-124: 큰 균열 파손이 있으나 후보/기존 박스 범위 재정의 필요,1153,2048
wsv3_img_0033_16b2751d2d,images/wsv3_img_0033_16b2751d2d.jpg,labels_initial/wsv3_img_0033_16b2751d2d.txt,labels_final/wsv3_img_0033_16b2751d2d.txt,datasets/walksafe_kr_v3_privacy_sanitized_20260520/images/wsv3_img_0033_16b2751d2d.jpg,/home/ddobagi/Code/hanium-dreamup/datasets/walksafe_kr_v2/labels/test/aihub513_tactile_2_09_1_1_1_1_20211024_0000816514.txt,v3-review-126,false_positive_extra_box,3,v3-review-126: 모서리 파손 및 균열이 있어 박스 재라벨 필요,1152,2048
