no,row_id,image_file,current_status,privacy_status,decision_options,your_decision,note
1,v3-review-001,02_hard_negative_candidates/items/01_v3-review-001.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
2,v3-review-002,02_hard_negative_candidates/items/02_v3-review-002.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
3,v3-review-003,02_hard_negative_candidates/items/03_v3-review-003.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
4,v3-review-004,02_hard_negative_candidates/items/04_v3-review-004.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
5,v3-review-005,02_hard_negative_candidates/items/05_v3-review-005.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
6,v3-review-006,02_hard_negative_candidates/items/06_v3-review-006.jpg,hard_negative_review_candidate,privacy_pass_auto,hard_negative/positive/drop/hold,,
7,v3-review-007,02_hard_negative_candidates/items/07_v3-review-007.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
8,v3-review-008,02_hard_negative_candidates/items/08_v3-review-008.jpg,hard_negative_review_candidate,privacy_hold,hard_negative/positive/drop/hold,,
9,v3-review-009,02_hard_negative_candidates/items/09_v3-review-009.jpg,hard_negative_review_candidate,privacy_pass_auto,hard_negative/positive/drop/hold,,
10,v3-review-010,02_hard_negative_candidates/items/10_v3-review-010.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
11,v3-review-011,02_hard_negative_candidates/items/11_v3-review-011.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
12,v3-review-012,02_hard_negative_candidates/items/12_v3-review-012.jpg,hard_negative_review_candidate,privacy_hold,hard_negative/positive/drop/hold,,
13,v3-review-037,02_hard_negative_candidates/items/13_v3-review-037.jpg,hard_negative_review_candidate,privacy_pass_after_blur_auto,hard_negative/positive/drop/hold,,
14,v3-review-038,02_hard_negative_candidates/items/14_v3-review-038.jpg,hard_negative_review_candidate,privacy_pass_auto,hard_negative/positive/drop/hold,,
15,v3-review-039,02_hard_negative_candidates/items/15_v3-review-039.jpg,hard_negative_review_candidate,privacy_hold,hard_negative/positive/drop/hold,,
